(IPv6Address('2600:9000:2000::'), 'YTO')
(IPv6Address('2600:9000:2001::'), 'ICN')
(IPv6Address('2600:9000:2001::'), 'ICN')
(IPv6Address('2600:9000:2002::'), 'IAD')
(IPv6Address('2600:9000:2003::'), 'SIN')
(IPv6Address('2600:9000:2003::'), 'SIN')
(IPv6Address('2600:9000:2004::'), 'CCU')
(IPv6Address('2600:9000:2004::'), 'CCU')
(IPv6Address('2600:9000:2005::'), 'TLV')
(IPv6Address('2600:9000:2005::'), 'TLV')
(IPv6Address('2600:9000:2006::'), 'ATL')
(IPv6Address('2600:9000:2006::'), 'ATL')
(IPv6Address('2600:9000:2007::'), 'HEL')
(IPv6Address('2600:9000:2007::'), 'HEL')
(IPv6Address('2600:9000:2008::'), 'MAD')
(IPv6Address('2600:9000:2008::'), 'MAD')
(IPv6Address('2600:9000:2009::'), 'IAD')
(IPv6Address('2600:9000:200a::'), 'SIN')
(IPv6Address('2600:9000:200a::'), 'SIN')
(IPv6Address('2600:9000:200b::'), 'MAN')
(IPv6Address('2600:9000:200c::'), 'ATL')
(IPv6Address('2600:9000:200c::'), 'ATL')
(IPv6Address('2600:9000:200d::'), 'ICN')
(IPv6Address('2600:9000:200d::'), 'ICN')
(IPv6Address('2600:9000:200e::'), 'EZE')
(IPv6Address('2600:9000:200e::'), 'EZE')
(IPv6Address('2600:9000:200f::'), 'HIO')
(IPv6Address('2600:9000:200f::'), 'HIO')
(IPv6Address('2600:9000:2010::'), 'ATL')
(IPv6Address('2600:9000:2010::'), 'ATL')
(IPv6Address('2600:9000:2011::'), 'DFW')
(IPv6Address('2600:9000:2013::'), 'FCO')
(IPv6Address('2600:9000:202b::'), 'BKK')
(IPv6Address('2600:9000:202b::'), 'BKK')
(IPv6Address('2600:9000:202d::'), 'DEL')
(IPv6Address('2600:9000:202d::'), 'DEL')
(IPv6Address('2600:9000:202e::'), 'EZE')
(IPv6Address('2600:9000:202e::'), 'EZE')
(IPv6Address('2600:9000:202f::'), 'NRT')
(IPv6Address('2600:9000:202f::'), 'NRT')
(IPv6Address('2600:9000:2030::'), 'MIA')
